Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
12/06/23 11:00,12.658799999999999,13.9329,8.2522800000000007,6.3872999999999998,2.9961899999999999,2.7,3.3,1.9,2.6,3.4,1.3,2.1,1.5,2.5099999999999998,2.13,3.17,1.6963200000000001,8.4944699999999997,2.8696999999999999,13.7273,4.9505600000000003,2.55701,2.5929899999999999,1.609,3.6984400000000002,4.72302,,,2.8,1.3,2.72,1.2,3.6,3,5.4790000000000001,2.8349000000000002,6.4689300000000003,5.5350200000000003,1.6,3.0977999999999999,7.9406999999999996,3.0425499999999999,1.03041,,,3.4,2.4,1.9,10.2569,4.1496899999999997,3.5915400000000002,4.1931000000000003,5.2231500000000004,5.976,6.2159599999999999,4.5633999999999997,2.6192099999999998,16.837800000000001,2.7376,1.8492599999999999,1.60372,1.0640000000000001,3.62995,3.6029900000000001,2.87696,6.6879
12/07/23 12:00,13.6318,12.379300000000001,9.7788599999999999,5.6862000000000004,2.3437299999999999,2.9,2.8,1.8,2.5,3.2,1.17,1.9,1.53,2.46,2.21,3.27,1.6882200000000001,8.8784100000000006,2.82498,14.492900000000001,4.95688,3.6014400000000002,2.5742400000000001,1.645,3.5720299999999998,4.9131,2.59293,,4,1.3,2.62,1.1000000000000001,3.4,3.1,4.8630800000000001,3.0535999999999999,6.3867599999999998,6.0720799999999997,1.6,,7.1955,2.6051299999999999,1.01718,,,3.4,2.5,2,10.582000000000001,4.0354999999999999,3.3312599999999999,3.6838799999999998,5.1275700000000004,6.1180599999999998,6.8092199999999998,4.7949999999999999,2.6217000000000001,15.9314,2.7971599999999999,1.76596,1.55196,0.96516999999999997,3.5182000000000002,3.4603700000000002,2.9948399999999999,5.6640600000000001
12/07/23 01:00,13.5532,12.108700000000001,9.1540800000000004,4.9688999999999997,2.2513899999999998,3,2.5,1.8,2.5,4.5999999999999996,1.05,1.6,1.3,2.2400000000000002,2.11,3.21,1.7010000000000001,9.5418900000000004,3.08595,13.014200000000001,5.3226699999999996,3.1498200000000001,2.64899,2.3650000000000002,3.3856899999999999,5.0581800000000001,2.5578699999999999,,4.3,1.3,2.68,1.1000000000000001,2.9,3,4.6661400000000004,3.2115499999999999,6.08589,6.6154299999999999,1.4,2.5493399999999999,5.68485,2.4965600000000001,0.97199999999999998,,,3.3,2.2000000000000002,2,9.9853199999999998,3.7116799999999999,3.4130699999999998,3.1905600000000001,5.3457299999999996,5.9994899999999998,7.75732,4.7125700000000004,2.46861,13.921099999999999,2.5448900000000001,1.75478,1.5234099999999999,0.90800000000000003,3.3868,3.4473699999999998,3.04223,7.7895000000000003
12/07/23 02:00,11.2684,11.7433,,4.2552000000000003,2.0424099999999998,2.9,2.4,1.8,2.4,4.5999999999999996,0.98,1.5,1.1100000000000001,2.23,2.1,2.78,1.72062,8.8381799999999995,2.7953299999999999,6.7231800000000002,5.3171600000000003,2.8593899999999999,2.5561799999999999,2.113,3.1787100000000001,4.9062599999999996,2.6521599999999999,,2,1.3,2.58,1.1000000000000001,2.8,2.7,4.6278600000000001,3.6975500000000001,5.7660299999999998,6.5594000000000001,1.3,2.29068,4.2970499999999996,1.8345,0.98819999999999997,,,3.1,2.1,2,9.0923400000000001,3.9470399999999999,3.4408799999999999,2.9995099999999999,5.4175500000000003,5.5878300000000003,6.1165099999999999,4.6791499999999999,2.54684,12.9834,2.4508100000000002,1.7080500000000001,1.43651,0.85482999999999998,3.2444999999999999,3.3875999999999999,3.03051,7.27182
12/07/23 03:00,10.2514,11.9976,9.6055399999999995,3.8879999999999999,1.88689,2.7,2.2999999999999998,1.7,2.2000000000000002,3.1,1.03,1.3,1.05,2.1,2.0699999999999998,2.35,1.79694,8.4025800000000004,2.64175,5.0680800000000001,5.2130000000000001,2.87812,2.3946999999999998,1.2529999999999999,3.00325,3.6107999999999998,2.4563199999999998,,1.9,1.1000000000000001,2.4300000000000002,1.1000000000000001,2.5,2.5,5.4162699999999999,3.2034500000000001,5.6192399999999996,6.2246300000000003,1.2,2.0273400000000001,3.4411499999999999,1.46187,0.97199999999999998,,,2.9,2,1.9,7.4795400000000001,4.8932000000000002,3.4735499999999999,3.1283799999999999,5.0803200000000004,5.1734299999999998,5.9295200000000001,4.7149599999999996,2.5918299999999999,11.780900000000001,2.3699699999999999,1.72529,1.3204199999999999,0.83250000000000002,3.1057000000000001,3.3034699999999999,2.8481399999999999,5.66838
12/07/23 04:00,5.6343699999999997,12.8127,8.1259200000000007,3.8033999999999999,3.1116100000000002,2.5,2.2000000000000002,1.7,2.2000000000000002,3.1,1.0900000000000001,1.2,0.94,2.12,1.98,2.2999999999999998,1.84554,,2.6118999999999999,4.3018200000000002,5.0273500000000002,3.1236600000000001,2.6010200000000001,1.385,2.99742,3.4304399999999999,2.4300799999999998,,1.9,1.1000000000000001,2.27,1,2.2000000000000002,2.2999999999999998,5.9372199999999999,3.3209,5.2677899999999998,5.3227399999999996,1.1000000000000001,1.8504,2.8633500000000001,1.1524300000000001,0.96389999999999998,,,2.7,1.9,1.7,7.0984800000000003,6.8998299999999997,3.4424999999999999,3.4511400000000001,5.0117399999999996,5.0561600000000002,5.5107400000000002,5.2753199999999998,2.7117800000000001,11.208500000000001,2.3043499999999999,1.7161,1.30355,0.83,3.00515,3.21773,2.8479100000000002,7.0648200000000001
12/07/23 05:00,3.0705499999999999,11.926600000000001,2.8703699999999999,3.8250000000000002,2.5745800000000001,2.2000000000000002,2.2000000000000002,1.7,2.2000000000000002,3,1.1299999999999999,1.2,0.96,2.09,1.9,2.44,1.84806,6.3470700000000004,2.44401,3.6097199999999998,4.9366300000000001,3.1122200000000002,2.6387299999999998,1.448,2.9523999999999999,3.4144199999999998,2.6869299999999998,,1.9,1,2.2599999999999998,1,2,2.1,5.5808200000000001,3.0617000000000001,5.1565500000000002,4.8056000000000001,1.1000000000000001,1.6489799999999999,2.5973999999999999,,0.97199999999999998,,,2.5,1.8,1.5,6.9051600000000004,4.3124900000000004,3.1093199999999999,3.4246799999999999,4.2843600000000004,5.1968699999999997,6.0253399999999999,5.4699499999999999,2.8501300000000001,9.37026,2.2929400000000002,1.6704699999999999,1.3319000000000001,0.82050000000000001,2.9620000000000002,3.0823999999999998,2.7557499999999999,7.8949800000000003
12/07/23 06:00,1.9027700000000001,9.9292499999999997,2.0136599999999998,3.8088000000000002,1.9197,2.8,2.6,1.8,2.2000000000000002,2.8,1.1200000000000001,1.1000000000000001,1.02,2.13,1.92,2.79,1.8361799999999999,6.8423400000000001,2.3914200000000001,3.6225000000000001,4.8423400000000001,2.8972600000000002,2.86036,1.4830000000000001,2.8502100000000001,3.7396799999999999,3.0136799999999999,,2.2999999999999998,1,2.29,1.1000000000000001,1.9,2,5.2655900000000004,2.8227500000000001,4.8750299999999998,5.3186400000000003,1.2,,2.1937500000000001,0.99470000000000003,0.97028999999999999,,,2.4,1.7,1.4,6.4391100000000003,4.5642100000000001,2.7099899999999999,3.4087499999999999,4.1596200000000003,4.9525699999999997,5.6862399999999997,5.4235800000000003,3.7755100000000001,8.1272699999999993,2.3759000000000001,1.6424700000000001,1.41113,0.77549999999999997,2.97525,3.0769000000000002,2.7350400000000001,6.0625799999999996
12/07/23 07:00,1.7082999999999999,8.6676300000000008,1.9855799999999999,3.9167999999999998,2.48224,3.7,2.7,1.9,2.1,3,1.29,1.1000000000000001,1.1100000000000001,2.1,1.92,4.25,2.0548799999999998,6.9408000000000003,2.4550100000000001,3.78288,3.9696500000000001,2.9731700000000001,2.9222299999999999,1.5529999999999999,3.14967,4.53348,3.1981600000000001,,3.4,1,2.44,1.1000000000000001,2,2,4.8348399999999998,2.5594999999999999,4.71915,5.5612599999999999,1.5,1.8612,2.2504499999999998,1.0303100000000001,0.97370999999999996,,,2.2999999999999998,2.2000000000000002,1.3,6.4641200000000003,4.4958499999999999,2.7337500000000001,3.4519500000000001,3.8264399999999998,5.1246,5.16343,5.6173700000000002,2.8668399999999998,7.68546,2.59538,2.2147700000000001,1.72407,0.84099999999999997,3.0221499999999999,3.0256699999999999,2.8494799999999998,5.7104999999999997
12/07/23 08:00,1.7781199999999999,6.4600200000000001,1.7811900000000001,4.2020999999999997,2.2040099999999998,4.2,3.8,2.6,2.5,3.7,1.42,1.2,1.7,2.23,2.0299999999999998,4.55,2.15334,7.6158900000000003,4.2607499999999998,3.9070800000000001,3.4962800000000001,3.6947800000000002,3.4349699999999999,1.579,2.5254599999999998,4.4375400000000003,3.2283300000000001,,4.7,1.2,2.57,1.1000000000000001,2.2000000000000002,2.2000000000000002,15.6393,2.4339499999999998,4.5166500000000003,4.7359400000000003,1.6,1.6345799999999999,2.2045499999999998,0.99195,0.99333000000000005,,,2.4,3.1,1.4,6.5597399999999997,4.9579399999999998,3.7851300000000001,3.3891200000000001,3.8450700000000002,5.81738,5.5215500000000004,5.6200799999999997,2.8521800000000002,8.8474500000000003,2.6631800000000001,1.8957999999999999,2.1031900000000001,0.875,3.1051000000000002,3.0211700000000001,3.1848000000000001,5.8721399999999999
12/07/23 09:00,2.1375199999999999,6.1899300000000004,2.3006700000000002,4.8609,2.4628100000000002,3.8,4.7,2.4,2.9,3.5,1.82,1.3,1.82,2.58,2.4,5,2.26206,7.7778,3.86958,4.0165199999999999,4.6142500000000002,3.6798199999999999,3.4068800000000001,1.55,2.78017,4.1383799999999997,3.3830399999999998,,4.5999999999999996,1,2.95,1.2,2.6,2.4,7.9736000000000002,2.7903500000000001,4.4407800000000002,4.85311,1.7,1.5996600000000001,2.3935499999999998,0.99084000000000005,1.1050199999999999,,,2.8,3.1,1.5,7.7128199999999998,3.5001899999999999,4.0354200000000002,3.6509399999999999,4.0332600000000003,5.9023399999999997,4.8451000000000004,5.3307900000000004,3.2082199999999998,7.60968,2.6699099999999998,2.0653299999999999,2.6945899999999998,0.92232999999999998,3.2459500000000001,3.1256499999999998,4.3116199999999996,5.85792
12/07/23 10:00,3.1642199999999998,7.5936599999999999,3.6158399999999999,4.9292999999999996,2.5815999999999999,3.7,3.4,2.7,2.6,3.8,1.65,1.5,2.0099999999999998,2.88,2.5099999999999998,4.42,2.14344,7.1111700000000004,4.1736800000000001,4.7113199999999997,4.5607899999999999,3.6991499999999999,3.0546199999999999,1.623,3.1124900000000002,4.0431600000000003,2.7477299999999998,,3.1,1.1000000000000001,2.7,1.3,2.6,2.6,4.7895000000000003,3.5679500000000002,4.4986499999999996,4.0502000000000002,1.5,2.0034399999999999,2.3220000000000001,1.1409400000000001,1.15191,,,2.9,2.7,1.6,6.7382999999999997,3.9553699999999998,3.0137399999999999,4.2633000000000001,3.9533399999999999,6.03423,5.8169300000000002,5.1848599999999996,3.1809599999999998,6.3476999999999997,2.9478200000000001,2.0701700000000001,2.4370099999999999,0.96816999999999998,3.4984500000000001,3.22533,4.7119600000000004,5.9131799999999997
12/07/23 11:00,3.3151799999999998,8.4651300000000003,2.2582800000000001,5.0922000000000001,3.2683499999999999,3.2,5.4,3,2.6,4,1.59,1.5,1.66,2.54,2.2799999999999998,3.54,2.07918,7.0069499999999998,3.7152799999999999,6.0407999999999999,3.99654,3.9331900000000002,2.8512900000000001,1.6659999999999999,2.5156499999999999,4.4548199999999998,2.73197,,2.4,1.1000000000000001,2.36,1.2,2.7,2.9,4.5472599999999996,3.11435,4.5612899999999996,4.3514099999999996,1.7,1.8727199999999999,2.1924000000000001,1.12795,1.1664000000000001,,,2.8,2.9,1.6,6.4683000000000002,3.8192400000000002,2.9896199999999999,3.7338300000000002,4.3845299999999998,6.0626699999999998,5.9493799999999997,4.5988800000000003,2.8382700000000001,5.9256000000000002,2.5973199999999999,2.1982699999999999,,0.97599999999999998,3.9138000000000002,3.29487,3.6881900000000001,5.8721399999999999
12/07/23 12:00,2.5381,7.6857300000000004,1.9364399999999999,4.6188000000000002,2.8895400000000002,3,6,2.9,2.6,4.9000000000000004,1.47,1.6,1.53,,2.0499999999999998,4.01,,7.2457200000000004,3.2494200000000002,5.0544000000000002,4.6834199999999999,3.8312200000000001,2.8179599999999998,1.6319999999999999,3.04793,4.3502400000000003,2.6804700000000001,,2.9,1,2.56,1.1000000000000001,3.1,2.8,4.4941300000000002,3.4666999999999999,4.4802900000000001,4.1112200000000003,1.5,1.9924200000000001,2.4986700000000002,1.0652900000000001,1.1988000000000001,,,2.5,1.9,1.6,5.9693399999999999,3.45295,3.7209599999999998,3.5437500000000002,4.3871700000000002,6.8547599999999997,5.7335399999999996,4.3616200000000003,2.5746699999999998,5.0780700000000003,2.9149400000000001,2.1295700000000002,,1.0445,4.0266000000000002,3.2365699999999999,4.51647,5.9065200000000004
12/07/23 01:00,1.71346,5.7509100000000002,1.78281,4.6260000000000003,2.7183600000000001,2.9,7.4,2.6,2.6,5.9,1.38,1.5,1.69,,2.41,3.71,,7.7429699999999997,3.6597499999999998,5.0441399999999996,4.1316499999999996,4.1223099999999997,2.8555299999999999,1.597,2.9337,4.2886800000000003,2.71855,,2.5,1.1000000000000001,2.63,1.1000000000000001,3.2,2.9,5.15374,3.2277499999999999,4.6566900000000002,3.5581900000000002,1.5,1.38456,2.6899199999999999,1.1111599999999999,1.2103200000000001,,,2.2000000000000002,1.9,1.4,6.2623800000000003,3.58805,3.53911,3.3960599999999999,4.2531100000000004,6.8610600000000002,6.3316800000000004,9.5103000000000009,2.1272899999999999,5.2969499999999998,3.3088600000000001,2.1388500000000001,,0.98099999999999998,4.1025999999999998,3.2913800000000002,5.0554100000000002,6.2656200000000002
12/07/23 02:00,1.4191499999999999,7.9359299999999999,1.8346499999999999,4.5585000000000004,2.1473100000000001,3.1,4.8,2.2000000000000002,2.2999999999999998,5.4,1.33,1.5,1.63,,2.2799999999999998,4.12,,8.0494199999999996,3.4171800000000001,4.6551600000000004,4.2238300000000004,4.1195000000000004,1.9245699999999999,1.681,3.1193399999999998,4.5583200000000001,2.6181899999999998,,3.1,1.2,2.63,1.1000000000000001,3.7,2.7,5.1012599999999999,3.5314999999999999,4.96251,4.1041100000000004,1.5,1.5452999999999999,,1.24722,1.2896099999999999,,,2,1.8,1.6,5.9113800000000003,3.3611399999999998,3.40002,3.4910999999999999,3.7384200000000001,6.5399399999999996,5.3689900000000002,7.2724099999999998,2.6711999999999998,5.5494000000000003,3.7746300000000002,1.9565300000000001,,0.98,4.0278999999999998,3.4184600000000001,4.3532500000000001,5.4962999999999997
12/07/23 03:00,1.3426400000000001,8.3382299999999994,1.42452,3.9365999999999999,1.8991800000000001,2.2000000000000002,6.5,2.7,2.4,6.3,1.37,1.6,1.52,5.31,2.4,4.46,,7.7831999999999999,3.0996700000000001,3.7909799999999998,4.8162599999999998,4.1262400000000001,2.9410599999999998,1.75,2.8820399999999999,5.6874599999999997,2.7228599999999998,,3.3,1.2,3.01,1.3,3.6,2.8,5.63842,3.9411800000000001,5.1182100000000004,4.5920699999999997,1.5,1.5146999999999999,3.27929,1.3487100000000001,1.34334,,,2.2000000000000002,1.7,1.5,6.3986400000000003,3.1993,3.2295600000000002,3.6709200000000002,3.4843500000000001,6.3427499999999997,5.4244399999999997,6.8914600000000004,2.6132300000000002,5.4204299999999996,3.8918599999999999,1.82965,,1.0740000000000001,3.94835,3.5310999999999999,4.4998800000000001,5.3569800000000001
12/07/23 04:00,2.2751999999999999,7.7466600000000003,1.39428,3.4182000000000001,2.5020899999999999,3.5,7.1,3.5,2.8,6.3,1.21,1.6,1.89,3.46,3.17,4.34,,8.25075,3.4588299999999998,4.2373799999999999,4.2674000000000003,4.3346600000000004,3.0980400000000001,1.831,3.0108299999999999,6.3016199999999998,2.9327000000000001,,4.5,1.3,3.24,1.3,4.5999999999999996,3.1,6.0329199999999998,4.08284,5.3775899999999996,7.3729300000000002,1.4,2.07972,3.0438000000000001,1.4615499999999999,1.4137200000000001,,,2.4,2.2000000000000002,1.7,,3.1250300000000002,3.4043399999999999,4.2349500000000004,4.4315100000000003,6.3804600000000002,5.9943799999999996,4.4740399999999996,2.9384399999999999,6.5610900000000001,3.8067500000000001,1.8254999999999999,1.6722999999999999,1.19,3.9258000000000002,3.7109100000000002,4.6585400000000003,5.2140599999999999
12/07/23 05:00,3.8711199999999999,9.9487799999999993,1.80576,3.9167999999999998,,3.8,9.4,3,2.8,6.8,1.21,1.6,2.2999999999999998,4.6900000000000004,3.17,4.1900000000000004,,9.2585700000000006,2.9825499999999998,11.2597,4.7749499999999996,4.74031,3.2395700000000001,1.891,3.1848200000000002,5.6206800000000001,2.9860699999999998,,3.6,1.3,3.41,1.5,4.8,3,8.2874099999999995,5.0474600000000001,5.7350300000000001,6.0016999999999996,1.3,2.4143400000000002,3.2748300000000001,2.0863,1.58202,,,2.6,2.1,2,8.0625599999999995,3.0099,3.4855200000000002,4.8084300000000004,4.3356599999999998,6.9056100000000002,6.4381899999999996,4.7551600000000001,2.8251200000000001,7.8916500000000003,3.6801499999999998,1.6575200000000001,2.3681899999999998,1.4065000000000001,4.0460500000000001,4.2070800000000004,3.9874800000000001,5.1359399999999997
12/07/23 06:00,3.8918200000000001,9.8291699999999995,3.4157700000000002,3.4613999999999998,2.1735000000000002,4.5,8.9,4.0999999999999996,3.3,6.6,1.28,1.6,2.27,3.23,2.81,6.32,,7.9818300000000004,2.7873199999999998,11.0587,4.9099000000000004,4.8227799999999998,3.3481299999999998,,3.1503800000000002,5.4682199999999996,3.2420399999999998,,2.5,1.5,3.4,1.5,5,3.1,7.4150900000000002,5.6360599999999996,,7.2476099999999999,1.2,3.4127999999999998,3.7448100000000002,2.3028200000000001,1.54071,,,2.8,2.2000000000000002,2.5,6.9080399999999997,3.5384799999999998,3.8678400000000002,4.71204,4.6572300000000002,6.9201899999999998,8.8813600000000008,5.5443100000000003,2.7096800000000001,7.71957,4.2717499999999999,1.58144,1.94756,1.6141700000000001,4.16195,4.9260700000000002,4.7678700000000003,5.1762600000000001
12/07/23 07:00,4.7325699999999999,11.1469,2.5110000000000001,3.6179999999999999,2.3190300000000001,4,10,4.2,3.5,6.8,1.23,1.7,2,2.95,2.76,9.16,,7.9565400000000004,2.9752999999999998,13.6858,4.4185499999999998,5.1445999999999996,3.5461800000000001,2.0369999999999999,3.8376600000000001,6.40116,3.70608,,2.8,1.4,3.51,1.4,4.4000000000000004,3.4,7.6570099999999996,5.5997000000000003,6.5303100000000001,7.2639399999999998,1.1000000000000001,2.3428800000000001,4.0379399999999999,2.60033,1.5816600000000001,,,3.5,3.2,2,6.21828,6.9556800000000001,3.7942200000000001,4.6386000000000003,5.4426600000000001,7.6255699999999997,8.8397799999999993,6.5145099999999996,3.6227299999999998,10.175599999999999,4.3931100000000001,1.5263199999999999,1.91632,1.9339999999999999,4.1578999999999997,5.3957699999999997,4.7800599999999998,5.2336799999999997
12/07/23 08:00,3.4365899999999998,9.1973699999999994,5.1626700000000003,4.7481299999999997,1.7479800000000001,3.4,13.8,4.5,3.6,9.8000000000000007,1.1499999999999999,1.6,2.2599999999999998,2.79,2.73,7.24,,8.8756199999999996,4.0194999999999999,7.1895600000000002,4.4848100000000004,5.4481599999999997,3.7270799999999999,1.6879999999999999,4.5873600000000003,,3.6835499999999999,,3.3,1.6,3.4,1.5,4.5,3.4,7.36008,4.99526,6.79338,7.4876800000000001,1,3.0726,4.1201999999999996,2.4658500000000001,1.7478899999999999,,,4.2,4.4000000000000004,2,8.5199400000000001,5.65144,3.85398,4.9123799999999997,6.6425400000000003,7.7421199999999999,9.7630700000000008,7.4078400000000002,3.1444399999999999,12.020200000000001,4.5236900000000002,1.41046,1.76539,2.1596700000000002,4.3860999999999999,5.3691199999999997,4.6796600000000002,5.5983599999999996
12/07/23 09:00,8.9355200000000004,9.5626800000000003,7.7511599999999996,4.3506900000000002,2.5987499999999999,3.3,9.1999999999999993,4,3.6,7.2,1.26,1.6,2.11,3.3,2.66,5.77,,8.7225300000000008,3.1747700000000001,7.6901400000000004,4.9575199999999997,5.3189900000000003,3.75597,2.181,4.6278300000000003,7.6638599999999997,3.61619,,3.3,1.5,3.35,1.3,3.5,3.3,6.0418799999999999,4.4712800000000001,6.9681600000000001,6.5662900000000004,0.9,2.5549200000000001,4.2336,2.39832,1.83447,,,4.4000000000000004,4.7,2.2000000000000002,9.3218399999999999,5.7176499999999999,3.8230200000000001,4.8338099999999997,5.7231899999999998,6.5356699999999996,8.4893199999999993,7.3138199999999998,2.9963000000000002,13.217000000000001,4.3036099999999999,1.4850300000000001,1.57918,2.1606700000000001,4.6843500000000002,5.4295900000000001,5.1694899999999997,5.6707200000000002
12/07/23 10:00,5.8589599999999997,9.1960200000000007,9.9648900000000005,4.8474899999999996,8.9375400000000003,3.6,8.1,3.8,2.9,5.0999999999999996,1.1499999999999999,1.4,1.82,3.44,3.16,6.85,,9.8601299999999998,3.07897,11.195499999999999,4.18527,5.3696000000000002,3.84518,2.2639999999999998,4.7215800000000003,7.95024,3.7933300000000001,,3.1,1.5,3.35,1.4,3.7,3.1,6.2666899999999996,5.4355399999999996,7.6382099999999999,7.2145299999999999,0.9,2.67876,4.2429600000000001,2.64994,1.9503900000000001,,,4.8,4.2,2.2000000000000002,8.3014200000000002,7.5220900000000004,5.0774400000000002,5.0033700000000003,6.7937399999999997,9.6670400000000001,7.7016200000000001,7.79122,3.2644700000000002,14.8142,3.8902800000000002,1.2680199999999999,1.47201,2.4326699999999999,5.0442499999999999,5.05077,5.3232400000000002,5.6498400000000002
12/07/23 11:00,6.2704599999999999,8.5581899999999997,11.6608,5.0178599999999998,4.5141299999999998,3.5,8.6999999999999993,3,2.7,4.2,1.1200000000000001,1.4,1.68,2.91,2.88,5.33,,9.9478799999999996,2.7025999999999999,11.7173,3.9732099999999999,5.4300800000000002,3.85636,2.2400000000000002,4.7194099999999999,8.5811399999999995,3.7052399999999999,,3.8,1.3,3.01,1.3,3.6,2.9,8.5509900000000005,5.7762799999999999,8.1152099999999994,6.8975999999999997,0.9,3.4547400000000001,4.32918,2.0780500000000002,1.9798199999999999,,,4.8,3.4,2.5,8.0920799999999993,8.6680100000000007,5.2039799999999996,5.7561299999999997,5.8687199999999997,10.925800000000001,8.1133699999999997,7.90456,3.1764700000000001,18.339600000000001,4.03268,1.1824399999999999,1.4689300000000001,2.3620000000000001,5.6288,4.8819400000000002,5.13849,5.2453799999999999
12/08/23 12:00,7.1022600000000002,9.6055200000000003,5.6142000000000003,4.6505700000000001,4.6002599999999996,3.1,4.5999999999999996,2.5,3.2,3.5,1.1499999999999999,1.4,1.7,2.88,2.58,4.9000000000000004,,9.6560100000000002,2.4148000000000001,7.9972200000000004,3.15103,5.36721,3.9634399999999999,2.2410000000000001,5.3130800000000002,8.0326799999999992,,,3.9,1.2,2.86,1.2,3.4,2.9,8.1596100000000007,4.8581000000000003,8.1373499999999996,8.0324500000000008,0.8,2.5781399999999999,4.0972499999999998,2.0072899999999998,1.9064700000000001,,,4.5,3.3,2.4,11.0707,6.8612700000000002,5.7789000000000001,5.7642300000000004,6.0110099999999997,10.454499999999999,8.3349899999999995,7.8133600000000003,3.6872600000000002,17.127199999999998,3.4618500000000001,1.15303,1.36277,2.46733,5.7634999999999996,4.7569499999999998,4.48238,6.0535800000000002
12/08/23 01:00,7.4968599999999999,9.4520700000000009,,4.5130499999999998,3.3847200000000002,3.2,4.0999999999999996,2.2999999999999998,2.8,3.5,0.98,1.3,1.41,2.82,2.58,6.17,,9.9889200000000002,2.24844,4.9802400000000002,2.6681699999999999,5.3226199999999997,3.8408000000000002,2.1659999999999999,4.9108299999999998,8.6760000000000002,3.6145700000000001,,3.1,1.1000000000000001,3.3,1.4,3,2.6,7.3470800000000001,4.9976000000000003,7.7807700000000004,8.1176399999999997,0.8,2.4728400000000001,3.6503999999999999,1.9592000000000001,1.8173699999999999,,,4.5999999999999996,3.1,2.4,11.3872,6.96807,5.7222,6.2448300000000003,6.9330600000000002,11.866,6.9324700000000004,7.7523799999999996,3.57612,14.6576,3.1968700000000001,1.14784,1.2333099999999999,2.3620000000000001,5.7661499999999997,4.7603600000000004,4.4225199999999996,6.03972
12/08/23 02:00,7.4167899999999998,9.2000700000000002,2.4533999999999998,4.7555100000000001,3.4462799999999998,2.7,4.2,2.2999999999999998,2.6,3.2,0.97,1.2,1.28,2.7,2.5299999999999998,5.38,,9.1954799999999999,1.82135,4.0559399999999997,2.4043999999999999,5.0082399999999998,3.67178,2.2050000000000001,4.6972100000000001,8.4787199999999991,3.39954,,2.6,1,3.5,1.4,2.7,2.4,7.3812199999999999,4.6059200000000002,7.48935,7.95627,0.7,2.35134,3.43818,1.9030199999999999,1.7346600000000001,,,4.0999999999999996,2.9,2.2000000000000002,,6.4212199999999999,7.0115400000000001,6.91038,8.7212700000000005,10.5204,6.6770100000000001,7.3609,3.4955699999999998,15.503,2.96685,1.0439499999999999,1.2100599999999999,2.0644999999999998,5.1997,4.9864899999999999,4.32986,5.8289400000000002
12/08/23 03:00,7.7149400000000004,8.3642400000000006,1.9692000000000001,4.8953699999999998,3.3326099999999999,2.4,3.8,2.2999999999999998,2.5,3.2,0.9,1.1000000000000001,1.3,2.64,2.67,3.93,,8.7152399999999997,1.1217900000000001,4.2564599999999997,2.30809,4.5929200000000003,3.4738699999999998,2.0649999999999999,4.2384899999999996,7.8607800000000001,3.1065100000000001,,4,0.8,3.31,1.4,2.6,2.2000000000000002,7.2008700000000001,4.4462599999999997,7.7165100000000004,7.5186900000000003,0.7,2.4605999999999999,3.24594,1.7787900000000001,,,,3.8,2.8,2.1,8.3842199999999991,6.2686200000000003,8.5679999999999996,6.4770300000000001,8.3619000000000003,11.144500000000001,6.18912,6.6811999999999996,3.3814700000000002,16.240500000000001,2.7576399999999999,0.95076000000000005,1.1859299999999999,2.08683,4.71495,5.2351099999999997,4.4413400000000003,5.1780600000000003
12/08/23 04:00,7.3379899999999996,6.9417900000000001,0.86580000000000001,5.0075099999999999,3.2289300000000001,2.4,3.4,2.2999999999999998,2.5,3.1,0.82,1.1000000000000001,1.1499999999999999,2.64,2.61,3.77,,7.5193199999999996,1.19678,4.8906000000000001,1.87578,4.73672,3.4335900000000001,2.335,3.1539100000000002,7.8967799999999997,3.2312099999999999,4.4174600000000002,5.9,0.7,2.87,1.2,2.6,2,7.0238100000000001,4.3499600000000003,7.7212800000000001,6.6682399999999999,0.7,2.5266600000000001,2.9295,1.73881,1.4805900000000001,,,3.5,2.6,1.9,8.9650800000000004,6.4347899999999996,6.9271200000000004,6.5205000000000002,7.4525399999999999,10.0265,6.8111300000000004,6.5848899999999997,3.3364799999999999,15.720800000000001,2.5422400000000001,0.94113999999999998,1.12578,2.01783,4.4851999999999999,5.2920400000000001,4.4048100000000003,4.13748
12/08/23 05:00,5.9560700000000004,6.87303,0.81089999999999995,4.8041999999999998,2.8279800000000002,2.5,2.6,2.5,2.4,3.3,0.82,1.1000000000000001,1.07,2.7,2.6,3.56,,,1.4366699999999999,6.4083600000000001,1.46326,4.4271200000000004,3.4988199999999998,6.6070000000000002,4.3705600000000002,8.17272,3.17041,3.9984099999999998,7.9,0.8,2.66,1.2,2.5,1.9,7.88673,4.3710199999999997,8.0190000000000001,9.2475400000000008,0.6,2.4490799999999999,2.7626400000000002,1.4412400000000001,1.4319900000000001,,,3.3,2.5,1.9,10.2461,6.3111699999999997,6.7629599999999996,6.6835800000000001,7.3934100000000003,9.9566999999999997,7.00983,6.9218500000000001,3.2858800000000001,14.234,2.56108,0.95113999999999999,1.12731,1.81917,4.3724999999999996,5.1981099999999998,4.3771599999999999,4.7051999999999996
